THCIC_ID,Hospital_name,Hospital_city,COUNTY,q1,q2,q3,q4,End of List
091001,Abilene Regional Medical Center,Abilene,441,1666,1550,1621,1614,end of record
500000,Hendrick Medical Center,Abilene,441,4501,4511,4463,4667,end of record
920000,Encompass Health Rehab Hospital Abilene,Abilene,441,289,312,305,270,end of record
973240,Oceans Behavioral Hospital Abilene,Abilene,441,557,595,575,570,end of record
973590,ContinueCare Hospital at Hendrick Medical Center,Abilene,441,51,46,56,58,end of record
750000,Methodist Hospital for Surgery,Addison,113,499,576,626,713,end of record
689401,CHRISTUS Spohn Hospital Alice,Alice,249,661,627,589,570,end of record
724200,Texas Health Presbyterian Hospital Allen,Allen,085,1021,848,866,617,end of record
973130,PAM Specialty Hospital of Allen,Allen,085,267,281,269,284,end of record
711900,Big Bend Regional Medical Center,Alpine,043,273,244,208,245,end of record
001000,Baptist St Anthonys Hospital,Amarillo,375,5006,4759,4709,4645,end of record
318000,Northwest Texas Hospital,Amarillo,375,4934,4912,5101,5155,end of record
714000,Northwest Texas Surgery Center,Amarillo,381,9,12,10,24,end of record
852900,Physicians Surgical Hospital-Quail Creek,Amarillo,375,246,274,295,327,end of record
852901,Physicians Surgical Hospital-Panhandle Campus,Amarillo,375,249,249,251,301,end of record
973340,Vibra Hospital of Amarillo,Amarillo,375,204,194,164,173,end of record
973350,Vibra Rehabilitation Hospital Amarillo,Amarillo,375,170,138,149,185,end of record
442000,Bayside Community Hospital,Anahuac,071,21,18,19,26,end of record
187000,Permian Regional Medical Center,Andrews,003,290,280,264,281,end of record
126000,UTMB Angleton Danbury Medical Center,Angleton,039,579,489,510,547,end of record
016000,Anson General Hospital,Anson,253,59,51,83,85,end of record
975322,Wise Health Surgical Hospital,Argyle,121,,,11,28,end of record
100084,Sundance Hospital,Arlington,439,879,911,728,,end of record
422000,Texas Health Arlington Memorial Hospital,Arlington,439,3767,3612,3536,3360,end of record
502000,Medical City Arlington,Arlington,439,5433,5183,5385,5502,end of record
660000,Encompass Health Rehab Hospital Arlington,Arlington,439,409,390,391,410,end of record
690000,Kindred Hospital-Tarrant County,Arlington,439,111,102,88,91,end of record
730001,Texas Health Heart & Vascular Hospital,Arlington,439,326,248,242,217,end of record
765001,Millwood Hospital,Arlington,439,1060,1038,1069,1090,end of record
799001,USMD Hospital-Arlington,Arlington,439,340,313,330,368,end of record
936000,Baylor Scott & White Orthopedic and Spine Hospital - Arlington,Arlington,439,393,401,429,487,end of record
974730,Texas Rehab Hospital of Arlington,Arlington,439,250,247,243,237,end of record
666000,Stonewall Memorial Hospital,Aspermont,433,32,26,17,39,end of record
374000,East Texas Medical Center-Athens,Athens,213,1518,,,,end of record
975293,UT Health East Texas Athens Hospital,Athens,213,,1349,1441,1451,end of record
788003,Christus St Michael Hospital Atlanta,Atlanta,067,128,132,133,108,end of record
873200,Baylor Emergency Medical Center at Aubrey,Aubrey,121,36,27,25,34,end of record
000100,Austin State Hospital,Austin,453,200,198,175,187,end of record
035000,St Davids Hospital,Austin,453,5439,5312,5227,5273,end of record
497000,Ascension Seton Medical Center,Austin,453,5866,5676,5917,5761,end of record
602000,St Davids South Austin Hospital,Austin,453,5447,5418,5431,5340,end of record
622001,Texas NeuroRehab Center,Austin,453,95,126,142,133,end of record
649000,St Davids Rehab Center,Austin,453,330,344,334,348,end of record
700000,Cornerstone Specialty Hospitals Austin,Austin,453,123,95,81,67,end of record
739001,Texas NeuroRehab Center,Austin,453,166,188,187,156,end of record
