THCIC_ID,Hospital_name,Hospital_city,COUNTY,q1,q2,q3,q4,end of quarter
091001,Abilene Regional Medical Center,Abilene,441,1597,1605,1591,1583,end of list
500000,Hendrick Medical Center,Abilene,441,4806,4818,4816,4945,end of list
920000,Encompass Health Rehab Hospital Abilene,Abilene,441,280,317,293,300,end of list
973240,Oceans Behavioral Hospital Abilene,Abilene,441,533,548,554,530,end of list
973590,ContinueCare Hospital at Hendrick Medical Center,Abilene,441,59,54,60,64,end of list
750000,Methodist Hospital for Surgery,Addison,113,532,622,588,687,end of list
689401,CHRISTUS Spohn Hospital Alice,Alice,249,613,519,523,503,end of list
724200,Texas Health Presbyterian Hospital Allen,Allen,085,641,646,638,814,end of list
973130,PAM Specialty Hospital of Allen,Allen,085,269,271,253,287,end of list
711900,Big Bend Regional Medical Center,Alpine,043,235,210,187,227,end of list
001000,Baptist St Anthonys Hospital,Amarillo,375,4938,4998,4946,6191,end of list
318000,Northwest Texas Hospital,Amarillo,375,5049,5069,5279,5167,end of list
714000,Northwest Texas Surgery Center,Amarillo,381,12,23,18,27,end of list
852900,Physicians Surgical Hospital-Quail Creek,Amarillo,375,262,273,308,355,end of list
852901,Physicians Surgical Hospital-Panhandle Campus,Amarillo,375,216,227,231,277,end of list
973340,Vibra Hospital of Amarillo,Amarillo,375,169,179,144,115,end of list
973350,Vibra Rehabilitation Hospital Amarillo,Amarillo,375,150,168,165,143,end of list
442000,Bayside Community Hospital,Anahuac,071,26,20,17,29,end of list
187000,Permian Regional Medical Center,Andrews,003,314,251,280,241,end of list
126000,UTMB Angleton Danbury Medical Center,Angleton,039,536,496,548,515,end of list
016000,Anson General Hospital,Anson,253,84,70,70,66,end of list
975322,Wise Health Surgical Hospital,Argyle,121,30,34,31,38,end of list
422000,Texas Health Arlington Memorial Hospital,Arlington,439,3052,2945,3126,3147,end of list
502000,Medical City Arlington,Arlington,439,5614,5439,5791,6314,end of list
660000,Encompass Health Rehab Hospital Arlington,Arlington,439,423,473,441,426,end of list
690000,Kindred Hospital-Tarrant County,Arlington,439,71,81,73,77,end of list
730001,Texas Health Heart & Vascular Hospital,Arlington,439,167,289,207,236,end of list
765001,Millwood Hospital,Arlington,439,1087,1173,1128,1080,end of list
799001,USMD Hospital-Arlington,Arlington,439,286,246,226,247,end of list
