THCIC_ID,Hospital_name,Hospital_city,COUNTY,q1,q2,q3,q4,end of list
091001,Abilene Regional Medical Center,Abilene,441,1615,1233,1482,415,end of list
500000,Hendrick Medical Center,Abilene,441,4867,3928,4629,4336,end of list
920000,Encompass Health Rehab Hospital Abilene,Abilene,441,281,248,336,312,end of list
973240,Oceans Behavioral Hospital Abilene,Abilene,441,562,483,525,526,end of list
973590,ContinueCare Hospital at Hendrick Medical Center,Abilene,441,74,74,83,84,end of list
975869,Hendrick Medical Center South,Abilene,441,,,,1030,end of list
750000,Methodist Hospital for Surgery,Addison,113,529,438,558,572,end of list
689401,CHRISTUS Spohn Hospital Alice,Alice,249,505,496,589,577,end of list
724200,Texas Health Presbyterian Hospital Allen,Allen,085,739,642,802,930,end of list
973130,PAM Specialty Hospital of Allen,Allen,085,280,232,258,293,end of list
711900,Big Bend Regional Medical Center,Alpine,043,245,188,221,224,end of list
001000,Baptist St Anthonys Hospital,Amarillo,375,5428,4279,4808,4956,end of list
318000,Northwest Texas Hospital,Amarillo,375,5082,4316,4838,4868,end of list
714000,Northwest Texas Surgery Center,Amarillo,381,25,10,16,18,end of list
852900,Physicians Surgical Hospital-Quail Creek,Amarillo,375,269,208,244,197,end of list
852901,Physicians Surgical Hospital-Panhandle Campus,Amarillo,375,179,77,163,133,end of list
973340,Vibra Hospital of Amarillo,Amarillo,375,121,105,101,101,end of list
973350,Vibra Rehabilitation Hospital Amarillo,Amarillo,375,140,129,139,184,end of list
442000,Bayside Community Hospital,Anahuac,071,13,18,32,10,end of list
187000,Permian Regional Medical Center,Andrews,003,211,170,198,260,end of list
126000,UTMB Angleton Danbury Medical Center,Angleton,039,515,456,574,552,end of list
016000,Anson General Hospital,Anson,253,53,25,24,23,end of list
975322,Wise Health Surgical Hospital,Argyle,121,33,31,23,32,end of list
422000,Texas Health Arlington Memorial Hospital,Arlington,439,3227,2951,3418,3422,end of list
502000,Medical City Arlington,Arlington,439,6024,5322,5929,5858,end of list
660000,Encompass Health Rehab Hospital Arlington,Arlington,439,422,334,355,328,end of list
690000,Kindred Hospital-Tarrant County,Arlington,439,84,105,108,96,end of list
730001,Texas Health Heart & Vascular Hospital,Arlington,439,212,178,254,271,end of list
765001,Millwood Hospital,Arlington,439,1104,780,992,1014,end of list
799001,USMD Hospital-Arlington,Arlington,439,195,179,183,234,end of list
936000,Baylor Scott & White Orthopedic and Spine,Arlington,439,343,296,349,483,end of list
974730,Texas Rehab Hospital of Arlington,Arlington,439,252,222,218,253,end of list
975388,Perimeter Behavioral Hospital of Arlington,Arlington,439,92,222,309,484,end of list
666000,Stonewall Memorial Hospital,Aspermont,433,37,23,27,24,end of list
975293,UT Health East Texas Athens Hospital,Athens,213,1544,1325,1352,1404,end of list
788003,Christus St Michael Hospital Atlanta,Atlanta,067,181,118,137,131,end of list
873200,Baylor Emergency Medical Center at Aubrey,Aubrey,121,21,22,17,29,end of list
000100,Austin State Hospital,Austin,453,161,93,87,75,end of list
035000,St Davids Hospital,Austin,453,5134,4258,5045,5110,end of list
497000,Ascension Seton Medical Center,Austin,453,5699,4931,5419,5500,end of list
602000,St Davids South Austin Hospital,Austin,453,5635,4987,5309,5351,end of list
