thcic_id,Hospital_name,Hospital_city,County_name,County,q1,q2,q3,q4,End of List
000100,Austin State Hospital,Austin,Travis,453,39,47,33,30,End of List
000101,Big Spring State Hospital,Big Spring,Howard,227,12,27,22,20,End of List
000102,UT Medical Branch Hospital,Galveston,Galveston,167,"6,053","6,436","6,837","6,867",End of List
000104,Rio Grande State Center,Harlingen,Cameron,061,97,130,115,100,End of List
000105,UT MD Anderson Cancer Center,Houston,Harris,201,"6,679","6,702","6,916","6,594",End of List
000106,Kerrville State Hospital,Kerrville,Kerr,265,7,12,9,2,End of List
000107,Rusk State Hospital,Rusk,Cherokee,073,22,22,26,20,End of List
000108,Texas Center for Infectious Disease,San Antonio,Bexar,029,17,22,12,18,End of List
000110,San Antonio State Hospital,San Antonio,Bexar,029,72,64,85,54,End of List
000111,Terrell State Hospital,Terrell,Kaufman,257,229,251,270,262,End of List
000112,UT Health Center-Tyler,Tyler,Smith,423,649,615,578,456,End of List
000113,North Texas State Hospital-Vernon,Vernon,Wilbarger,487,55,57,70,52,End of List
000114,North Texas State Hospital,Wichita Falls,Wichita,485,67,77,98,102,End of List
000115,Harris County Psychiatric Center,Houston,Harris,201,465,517,525,562,End of List
000117,Waco Center for Youth,Waco,McLennan,309,15,12,17,13,End of List
000118,El Paso Psychiatric Center,El Paso,El Paso,141,61,129,94,97,End of List
001000,Baptist St Anthonys Hospital,Amarillo,Potter,375,"4,702","4,789","4,937","5,113",End of List
002001,St Joseph Regional Health Center,Bryan,Brazos,041,"2,704","2,692","2,795","2,820",End of List
006000,Matagorda Regional Medical Center,Bay City,Matagorda,321,583,483,508,495,End of List
007000,Womans Hospital-Texas,Houston,Harris,201,"5,888","6,006","6,303","6,104",End of List
008001,Baylor Scott & White Medical Center Uptown,Dallas,Dallas,113,101,119,101,119,End of List
010000,WJ Mangold Memorial Hospital,Lockney,Floyd,153,34,21,24,29,End of List
014000,Columbus Community Hospital,Columbus,Colorado,089,303,261,268,301,End of List
016000,Anson General Hospital,Anson,Jones,253,34,23,27,21,End of List
017000,Jackson County Hospital,Edna,Jackson,239,12,9,11,9,End of List
019000,Valley Regional Medical Center,Brownsville,Cameron,061,"2,706","2,903","3,108","3,028",End of List
020000,CHRISTUS Good Shepherd Medical Center-Marshall,Marshall,Harrison,203,351,369,313,306,End of List
023000,Yoakum Community Hospital,Yoakum,Lavaca,285,189,135,99,137,End of List
026000,Childress Regional Medical Center,Childress,Childress,075,212,138,159,174,End of List
029000,CHRISTUS Good Shepherd Medical Center-Longview,Longview,Gregg,183,"4,069","3,924","4,019","4,118",End of List
030000,United Memorial Medical Center,Houston,Harris,201,114,76,55,25,End of List
034000,Palo Pinto General Hospital,Mineral Wells,Palo Pint,363,531,425,460,448,End of List
035000,St Davids Hospital,Austin,Travis,453,"5,073","5,249","5,316","5,301",End of List
038001,CHRISTUS Southeast Texas - Jasper Memorial,Jasper,Jasper,241,130,129,114,145,End of List
040000,Ascension Providence,Waco,McLennan,309,"3,534","3,501","3,595","3,608",End of List
041000,CHI St Joseph Health Madison Hospital,Madisonville,Madison,313,47,39,43,39,End of List
044000,Baylor Scott & White Medical Center Taylor,Taylor,Williamso,491,109,97,94,100,End of List
046000,Faith Community Hospital,Jacksboro,Jack,237,136,107,66,81,End of List
047000,Texas Health Huguley Hospital,Fort Worth,Tarrant,439,"3,183","3,091","3,180","2,991",End of List
049000,Coleman County Medical Center,Coleman,Coleman,083,102,79,80,71,End of List
052000,Limestone Medical Center,Groesbeck,Limestone,293,57,60,69,66,End of List
054000,Texas Scottish Rite Hospital for Children,Dallas,Dallas,113,99,168,110,110,End of List
059000,Glen Rose Medical Center,Glen Rose,Somervell,425,71,48,45,68,End of List
061000,Huntsville Memorial Hospital,Huntsville,Walker,471,961,899,956,"1,017",End of List
062000,Winkler County Memorial Hospital,Kermit,Winkler,495,21,18,25,32,End of List
063000,Uvalde Memorial Hospital,Uvalde,Uvalde,463,474,415,474,499,End of List
064000,Citizens Medical Center,Victoria,Victoria,469,"1,725","1,716","1,852","1,949",End of List
066000,Baylor Scott & White Hospital-Brenham,Brenham,Washingto,477,390,365,317,366,End of List
070000,Goodall - Witcher Hospital,Clifton,Bosque,035,100,76,84,103,End of List
072000,CHI St Lukes Health Memorial San Augustine,San Augustine,San Augus,405,27,22,39,24,End of List
074000,Cuero Regional Hospital,Cuero,De Witt,123,180,141,161,180,End of List
075000,Mitchell County Hospital,Colorado City,Mitchell,335,39,19,27,30,End of List
076000,HCA Houston Healthcare Tomball,Tomball,Harris,201,"2,373","2,354","2,474","2,639",End of List
078000,Brownfield Regional Medical Center,Brownfield,Terry,445,139,114,176,154,End of List
081001,Mission Trail Baptist Hospital,San Antonio,Bexar,029,"1,839","2,088","2,051","1,919",End of List
084000,Wilbarger General Hospital,Vernon,Wilbarger,487,148,129,141,164,End of List
085000,Hunt Regional Medical Center Greenville,Greenville,Hunt,231,"1,940","1,890","1,926","1,767",End of List
089001,Liberty Dayton Regional Medical Center,Liberty,Liberty,291,46,38,35,24,End of List
094000,Graham Hospital District,Graham,Young,503,79,47,36,37,End of List
095003,Paris Regional Medical Center North Campus,Paris,Lamar,277,"1,678","1,631","1,356","1,256",End of List
098000,Ochiltree General Hospital,Perryton,Ochiltree,357,146,123,139,125,End of List
100087,Montgomery County Mental Health Treatment Facility,Conroe,Montgomer,339,59,48,60,51,End of List
100093,Baylor Scott & White Institute for Rehab Frisco,Frisco,Collin,085,227,263,273,267,End of List
101100,Baptist Emergency Hospital Hausman,San Antonio,Bexar,029,36,,,9,End of List
101400,Oceans Behavioral Hospital of the Permian Basin,Midland,Midland,329,397,543,472,422,End of List
102000,Hardeman County Memorial Hospital,Quanah,Hardeman,197,32,29,27,33,End of List
103000,Memorial Hospital-Gonzales,Gonzales,Gonzales,177,176,156,135,184,End of List
106001,TMC Bonham Hospital,Bonham,Fannin,147,146,137,118,120,End of List
106100,Oceans Behavioral Hospital of Longview,Longview,Gregg,183,127,153,140,147,End of List
112100,Encompass Health Rehab Hospital Cypress,Houston,Harris,201,273,280,277,269,End of List
113000,Memorial Hospital-Seminole,Seminole,Gaines,165,388,363,388,367,End of List
114001,Baptist Medical Center,San Antonio,Bexar,029,"3,220","3,156","3,262","3,252",End of List
114100,Lone Star Behavioral Health Cypress,Cypress,Harris,201,106,74,77,106,End of List
116000,Parkview Hospital,Wheeler,Wheeler,483,22,12,5,8,End of List
117000,Texas Childrens Hospital,Houston,Harris,201,"3,484","3,883","3,874","4,183",End of List
117002,Texas Childrens Hospital West Campus,Houston,Harris,201,805,953,948,"1,084",End of List
117100,Texas Childrens Hospital-Pavilion for Women,Houston,Harris,201,"3,378","2,863","3,345","3,001",End of List
118000,CHI St Lukes Health Baylor College of Medicine Medical Center,Houston,Harris,201,"4,897","5,087","5,402","4,984",End of List
119000,Memorial Hermann Southeast Hospital,Houston,Harris,201,"3,183","3,296","3,471","3,532",End of List
124000,Houston Methodist Hospital,Houston,Harris,201,"9,321","9,299","9,497","9,546",End of List
124100,PAM Specialty Hospital of New Braunfels,New Braunfels,Comal,091,97,79,88,102,End of List
126000,UTMB Angleton Danbury Medical Center,Angleton,Brazoria,039,553,568,605,658,End of List
127000,Mid-Jefferson Extended Care Hospital,Nederland,Jefferson,245,65,74,75,90,End of List
129000,CHI St Lukes Health Memorial Lufkin,Lufkin,Angelina,005,"1,132","1,363","1,361","1,388",End of List
130000,The Hospitals of Providence Memorial Campus,El Paso,El Paso,141,"2,740","2,652","2,963","3,046",End of List
134001,Northeast Baptist Hospital,San Antonio,Bexar,029,"2,230","2,163","2,189","2,420",End of List
136000,Schleicher County Medical Center,Eldorado,Schleiche,413,17,7,13,19,End of List
137000,Titus Regional Medical Center,Mount Pleasant,Titus,449,735,"1,034","1,011",930,End of List
139000,Culberson Hospital,Van Horn,Culberson,109,24,10,9,4,End of List
140002,South Texas Health System Edinburg,Edinburg,Hidalgo,215,"2,543","2,803","3,101","3,431",End of List
141000,Navarro Regional Hospital,Corsicana,Navarro,349,714,599,644,700,End of List
142000,Methodist Charlton Medical Center,Dallas,Dallas,113,"3,471","2,988","3,302","3,403",End of List
143000,Childrens Medical Center-Dallas,Dallas,Dallas,113,"2,873","3,129","3,260","3,590",End of List
143001,Childrens Medical Center Plano,Plano,Collin,085,932,"1,013","1,037","1,182",End of List
144000,Wadley Regional Medical Center,Texarkana,Bowie,037,"1,461","1,425","1,477","1,330",End of List
145000,University Medical Center,Lubbock,Lubbock,303,"5,209","5,832","6,082","5,915",End of List
146000,Covenant Hospital-Plainview,Plainview,Hale,189,278,272,406,411,End of List
147000,Lillian M Hudspeth Memorial Hospital,Sonora,Sutton,435,33,16,30,25,End of List
151000,North Runnels Hospital,Winters,Runnels,399,42,43,43,25,End of List
154000,Methodist Hospital,San Antonio,Bexar,029,"11,944","12,389","12,720","12,885",End of List
154001,Methodist Specialty & Transplant Hospital,San Antonio,Bexar,029,"3,057","3,230","3,188","3,083",End of List
154002,Northeast Methodist Hospital,San Antonio,Bexar,029,"3,139","3,261","3,305","3,380",End of List
154003,Methodist Texsan Hospital,San Antonio,Bexar,029,"1,523","1,600","1,786","1,716",End of List
155000,Guadalupe Regional Medical Center,Seguin,Guadalupe,187,"1,055","1,064","1,202","1,252",End of List
156000,Dimmit Regional Hospital,Carrizo Springs,Dimmit,127,150,124,138,171,End of List
158000,University Hospital,San Antonio,Bexar,029,"7,588","8,034","8,567","8,243",End of List
159000,Cochran Memorial Hospital,Morton,Cochran,079,1,1,1,1,End of List
164000,TIRR Memorial Hermann,Houston,Harris,201,350,401,402,393,End of List
168000,Shannon Medical Center,San Angelo,Tom Green,451,"3,916","3,917","4,192","4,260",End of List
172000,Memorial Hermann Greater Heights Hospital,Houston,Harris,201,"3,130","3,425","3,694","3,682",End of List
176000,Crosbyton Clinic Hospital,Crosbyton,Crosby,107,,1,,,End of List
178000,Sweeny Community Hospital,Sweeny,Brazoria,039,85,60,73,73,End of List
180000,Las Palmas Medical Center,El Paso,El Paso,141,"3,831","3,959","4,154","4,143",End of List
181000,Medical Center Hospital,Odessa,Ector,135,"2,368","2,315","2,532","2,512",End of List
182000,Texas Health Harris Methodist HEB,Bedford,Tarrant,439,"3,362","3,286","3,651","3,632",End of List
187000,Permian Regional Medical Center,Andrews,Andrews,003,189,160,212,197,End of List
192000,Lynn County Hospital District,Tahoka,Lynn,305,27,15,26,36,End of List
193000,Clay County Memorial Hospital,Henrietta,Clay,077,55,25,44,40,End of List
195000,Collingsworth General Hospital,Wellington,Collingsw,087,22,18,20,17,End of List
199000,Memorial Hospital-Dumas,Dumas,Moore,341,203,184,234,224,End of List
200000,Parmer Medical Center,Friona,Parmer,369,24,30,24,36,End of List
202000,Concho County Hospital,Eden,Concho,095,13,8,14,13,End of List
205000,Kimble Hospital,Junction,Kimble,267,36,30,26,38,End of List
206100,Baylor Scott & White Hospital College Station,College Station,Brazos,041,"2,251","2,399","2,458","2,516",End of List
207001,Laredo Medical Center,Laredo,Webb,479,"3,827","4,004","4,169","4,078",End of List
208100,Baylor Scott & White The Heart Hospital Denton,Denton,Denton,121,231,225,244,253,End of List
212000,HCA Houston Healthcare Clear Lake,Webster,Harris,201,"6,404","6,409","6,829","6,697",End of List
214000,Medical City Plano,Plano,Collin,085,"6,164","6,406","6,740","6,615",End of List
216001,CHRISTUS Spohn Hospital-Kleberg,Kingsville,Kleberg,273,560,515,573,529,End of List
217000,Lamb Healthcare Center,Littlefield,Lamb,279,70,65,90,90,End of List
219000,Hill Country Memorial Hospital,Fredericksburg,Gillespie,171,547,444,494,545,End of List
222000,Eastland Memorial Hospital,Eastland,Eastland,133,114,62,67,81,End of List
228001,Texas Vista Medical Center,San Antonio,Bexar,029,"2,293","2,269","2,524","2,333",End of List
229000,HCA Houston Healthcare Northwest,Houston,Harris,201,"4,343","4,499","4,535","4,502",End of List
230000,Oakbend Medical Center-Jackson,Richmond,Fort Bend,157,437,378,400,413,End of List
230001,Oakbend Medical Center-Southwest,Richmond,Fort Bend,157,521,460,426,457,End of List
234000,Ballinger Memorial Hospital District,Ballinger,Runnels,399,30,25,44,38,End of List
235000,Texas Health Harris Methodist Hospital-Fort Worth,Fort Worth,Tarrant,439,"9,540","10,032","10,597","10,231",End of List
240000,McCamey Hospital,McCamey,Upton,461,16,20,18,17,End of List
246000,Medical City-McKinney,McKinney,Collin,085,"4,429","4,569","4,812","4,715",End of List
247000,Shriners Hospitals for Children,Galveston,Galveston,167,41,47,57,78,End of List
254000,Wise Health System-FM 51,Decatur,Wise,497,49,53,53,58,End of List
254001,Wise Health System-Medical Center,Decatur,Wise,497,"1,399","1,259","1,320","1,276",End of List
255000,Methodist Dallas Medical Center,Dallas,Dallas,113,"3,860","3,681","3,877","3,917",End of List
256000,Texas Health Harris Methodist Hospital-Stephenville,Stephenville,Erath,143,522,418,405,428,End of List
258000,Iraan General Hospital,Iraan,Pecos,371,7,6,11,7,End of List
260000,Plains Memorial Hospital,Dimmitt,Castro,069,18,32,44,49,End of List
262000,Coon Memorial Hospital & Home,Dalhart,Hartley,205,103,90,64,71,End of List
263000,University Medical Center of El Paso-Alameda,El Paso,El Paso,141,"4,173","4,006","4,267","4,246",End of List
266000,The Hospitals of Providence Sierra Campus,El Paso,El Paso,141,"1,318","1,452","1,562","1,641",End of List
273000,Swisher Memorial Hospital,Tulia,Swisher,437,24,25,12,25,End of List
283000,Metropolitan Methodist Hospital,San Antonio,Bexar,029,"5,566","5,783","6,433","6,269",End of List
285000,Baylor Scott & White Medical Center Waxahachie,Waxahachie,Ellis,139,"2,266","2,229","2,265","2,484",End of List
286000,Christus Mother Frances Hospital Tyler,Tyler,Smith,423,"7,226","7,598","8,050","8,402",End of List
