"ZCTA","ZCTA_POP_2022","moe","CITY_NAME","ZCTA_COUNTY_ALLOCATION_FACTOR","COUNTY","COUNTY_FIPS","STATE"
"00601",16834,506,"Adjuntas, PR","0.995","ADJUNTAS MUNICIPIO","72001","PR"
"00602",37642,205,"Aguada, PR","0.9996","AGUADA MUNICIPIO","72003","PR"
"00603",49075,963,"Aguadilla, PR","0.9983","AGUADILLA MUNICIPIO","72005","PR"
"00606",5590,264,"Maricao, PR","0.9435","MARICAO MUNICIPIO","72093","PR"
"00610",25542,344,NA,"0.9747",NA,"72011",NA
"00611",1315,382,NA,"1","UTUADO MUNICIPIO","72141",NA
"00612",63312,1805,"Arecibo, PR","0.9819","ARECIBO MUNICIPIO","72013","PR"
"00616",9625,1319,"Bajadero, PR","1","ARECIBO MUNICIPIO","72013","PR"
"00617",22573,241,"Barceloneta, PR","0.9933","BARCELONETA MUNICIPIO","72017","PR"
"00622",7577,979,"Boqueron, PR","1","CABO ROJO MUNICIPIO","72023","PR"
"00623",39406,979,"Cabo Rojo, PR","1","CABO ROJO MUNICIPIO","72023","PR"
"00624",21648,516,NA,"0.9397",NA,"72111",NA
"00627",32733,NA,"Camuy, PR","0.9986","CAMUY MUNICIPIO","72027","PR"
"00631",1431,408,NA,"0.6704","LARES MUNICIPIO","72081",NA
"00636",1057,471,NA,"1",NA,"72125",NA
"00637",22882,222,"Sabana Grande, PR","0.9799","SABANA GRANDE MUNICIPIO","72121","PR"
"00638",17605,298,"Ciales, PR","0.9312","CIALES MUNICIPIO","72039","PR"
"00641",24299,640,"Utuado, PR","0.9988","UTUADO MUNICIPIO","72141","PR"
"00646",35926,150,"Dorado, PR","0.989","DORADO MUNICIPIO","72051","PR"
"00647",4702,620,NA,"0.9861",NA,"72055",NA
"00650",13767,572,"Florida, PR","0.8462","FLORIDA MUNICIPIO","72054","PR"
"00652",3924,789,"Arecibo, Garrochales, PR","1","ARECIBO MUNICIPIO","72013","GARROCHALES, PR"
"00653",8980,620,NA,"0.9996",NA,"72055",NA
"00656",18121,453,"Guayanilla, PR","0.987","GUAYANILLA MUNICIPIO","72059","PR"
"00659",37066,441,"Hatillo, PR","1","HATILLO MUNICIPIO","72065","PR"
"00660",15483,55,"Hormigueros, PR","1","HORMIGUEROS MUNICIPIO","72067","PR"
"00662",40480,795,"Isabela, PR","1","ISABELA MUNICIPIO","72071","PR"
"00664",14967,194,"Jayuya, PR","0.981","JAYUYA MUNICIPIO","72073","PR"
