"THCIC_ID","HOSP_NAME","HOSP_NAME_clean","HOSP_CITY","HOSP_COUNTY","HOSP_COUNTY_FIPS","HOSP_STATE","YEAR"
"091001","Abilene Regional Medical Center","ABILENE REGIONAL MEDICAL CENTER","ABILENE","TAYLOR","48441","TX","2018"
"500000","Hendrick Medical Center","HENDRICK MEDICAL CENTER","ABILENE","TAYLOR","48441","TX","2018"
"920000","Encompass Health Rehab Hospital Abilene","ENCOMPASS HEALTH REHAB HOSPITAL ABILENE","ABILENE","TAYLOR","48441","TX","2018"
"973240","Oceans Behavioral Hospital Abilene","OCEANS BEHAVIORAL HOSPITAL ABILENE","ABILENE","TAYLOR","48441","TX","2018"
"973590","ContinueCare Hospital at Hendrick Medical Center","CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER","ABILENE","TAYLOR","48441","TX","2018"
"750000","Methodist Hospital for Surgery","METHODIST HOSPITAL FOR SURGERY","ADDISON","DALLAS","48113","TX","2018"
"689401","CHRISTUS Spohn Hospital Alice","CHRISTUS SPOHN HOSPITAL ALICE","ALICE","JIM WELLS","48249","TX","2018"
"724200","Texas Health Presbyterian Hospital Allen","TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN","ALLEN","COLLIN","48085","TX","2018"
"973130","PAM Specialty Hospital of Allen","PAM SPECIALTY HOSPITAL OF ALLEN","ALLEN","COLLIN","48085","TX","2018"
"711900","Big Bend Regional Medical Center","BIG BEND REGIONAL MEDICAL CENTER","ALPINE","BREWSTER","48043","TX","2018"
"001000","Baptist St Anthonys Hospital","BAPTIST ST ANTHONYS HOSPITAL","AMARILLO","POTTER","48375","TX","2018"
"318000","Northwest Texas Hospital","NORTHWEST TEXAS HOSPITAL","AMARILLO","POTTER","48375","TX","2018"
"714000","Northwest Texas Surgery Center","NORTHWEST TEXAS SURGERY CENTER","AMARILLO","RANDALL","48381","TX","2018"
"852900","Physicians Surgical Hospital-Quail Creek","PHYSICIANS SURGICAL HOSPITAL QUAIL CREEK","AMARILLO","POTTER","48375","TX","2018"
"852901","Physicians Surgical Hospital-Panhandle Campus","PHYSICIANS SURGICAL HOSPITAL PANHANDLE CAMPUS","AMARILLO","POTTER","48375","TX","2018"
"973340","Vibra Hospital of Amarillo","VIBRA HOSPITAL OF AMARILLO","AMARILLO","POTTER","48375","TX","2018"
"973350","Vibra Rehabilitation Hospital Amarillo","VIBRA REHAB HOSPITAL AMARILLO","AMARILLO","POTTER","48375","TX","2018"
"442000","Bayside Community Hospital","BAYSIDE COMMUNITY HOSPITAL","ANAHUAC","CHAMBERS","48071","TX","2018"
"187000","Permian Regional Medical Center","PERMIAN REGIONAL MEDICAL CENTER","ANDREWS","ANDREWS","48003","TX","2018"
"126000","UTMB Angleton Danbury Medical Center","UTMB ANGLETON DANBURY MEDICAL CENTER","ANGLETON","BRAZORIA","48039","TX","2018"
"016000","Anson General Hospital","ANSON GENERAL HOSPITAL","ANSON","JONES","48253","TX","2018"
"975322","Wise Health Surgical Hospital","WISE HEALTH SURGICAL HOSPITAL","ARGYLE","DENTON","48121","TX","2018"
"100084","Sundance Hospital","SUNDANCE HOSPITAL","ARLINGTON","TARRANT","48439","TX","2018"
"422000","Texas Health Arlington Memorial Hospital","TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL","ARLINGTON","TARRANT","48439","TX","2018"
"502000","Medical City Arlington","MEDICAL CITY ARLINGTON","ARLINGTON","TARRANT","48439","TX","2018"
"660000","Encompass Health Rehab Hospital Arlington","ENCOMPASS HEALTH REHAB HOSPITAL ARLINGTON","ARLINGTON","TARRANT","48439","TX","2018"
"690000","Kindred Hospital-Tarrant County","KINDRED HOSPITAL TARRANT COUNTY","ARLINGTON","TARRANT","48439","TX","2018"
"730001","Texas Health Heart & Vascular Hospital","TEXAS HEALTH HEART VASCULAR HOSPITAL","ARLINGTON","TARRANT","48439","TX","2018"
"765001","Millwood Hospital","MILLWOOD HOSPITAL","ARLINGTON","TARRANT","48439","TX","2018"
"799001","USMD Hospital-Arlington","USMD HOSPITAL ARLINGTON","ARLINGTON","TARRANT","48439","TX","2018"
"936000","Baylor Scott & White Orthopedic and Spine Hospital - Arlington","BAYLOR SCOTT WHITE ORTHOPEDIC AND SPINE HOSPITAL ARLINGTON","ARLINGTON","TARRANT","48439","TX","2018"
"974730","Texas Rehab Hospital of Arlington","TEXAS REHAB HOSPITAL OF ARLINGTON","ARLINGTON","TARRANT","48439","TX","2018"
"666000","Stonewall Memorial Hospital","STONEWALL MEMORIAL HOSPITAL","ASPERMONT","STONEWALL","48433","TX","2018"
"374000","East Texas Medical Center-Athens","EAST TEXAS MEDICAL CENTER ATHENS","ATHENS","HENDERSON","48213","TX","2018"
"975293","UT Health East Texas Athens Hospital","UT HEALTH EAST TEXAS ATHENS HOSPITAL","ATHENS","HENDERSON","48213","TX","2018"
"788003","Christus St Michael Hospital Atlanta","CHRISTUS ST MICHAEL HOSPITAL ATLANTA","ATLANTA","CASS","48067","TX","2018"
"873200","Baylor Emergency Medical Center at Aubrey","BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY","AUBREY","DENTON","48121","TX","2018"
"000100","Austin State Hospital","AUSTIN STATE HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"035000","St Davids Hospital","ST DAVIDS HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"497000","Ascension Seton Medical Center","ASCENSION SETON MEDICAL CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"602000","St Davids South Austin Hospital","ST DAVIDS SOUTH AUSTIN HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"622001","Texas NeuroRehab Center","TEXAS NEUROREHAB CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"649000","St Davids Rehab Center","ST DAVIDS REHAB CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"700000","Cornerstone Specialty Hospitals Austin","CORNERSTONE SPECIALTY HOSPITALS AUSTIN","AUSTIN","TRAVIS","48453","TX","2018"
"739001","Texas NeuroRehab Center","TEXAS NEUROREHAB CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"770000","Ascension Seton Shoal Creek","ASCENSION SETON SHOAL CREEK","AUSTIN","TRAVIS","48453","TX","2018"
"794000","Northwest Hills Surgical Hospital","NORTHWEST HILLS SURGICAL HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"797500","Ascension Seton Southwest","ASCENSION SETON SOUTHWEST","AUSTIN","HAYS","48209","TX","2018"
"797600","Ascension Seton Northwest","ASCENSION SETON NORTHWEST","AUSTIN","TRAVIS","48453","TX","2018"
"822800","Westlake Medical Center","WESTLAKE MEDICAL CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"829000","Heart Hospital-Austin","HEART HOSPITAL AUSTIN","AUSTIN","TRAVIS","48453","TX","2018"
"829900","North Austin Medical Center","NORTH AUSTIN MEDICAL CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"852000","Dell Childrens Medical Center","DELL CHILDRENS MEDICAL CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"854400","Central Texas Rehab Hospital","CENTRAL TEXAS REHAB HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"855200","Austin Lakes Hospital","AUSTIN LAKES HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"970800","Encompass Health Rehab Hospital Austin","ENCOMPASS HEALTH REHAB HOSPITAL AUSTIN","AUSTIN","TRAVIS","48453","TX","2018"
"973160","Austin Oaks Hospital","AUSTIN OAKS HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"973290","Arise Austin Medical Center","ARISE AUSTIN MEDICAL CENTER","AUSTIN","TRAVIS","48453","TX","2018"
"974620","Cross Creek Hospital","CROSS CREEK HOSPITAL","AUSTIN","TRAVIS","48453","TX","2018"
"975169","St Davids Surgical Hospital","ST DAVIDS SURGICAL HOSPITAL","AUSTIN","WILLIAMSON","48491","TX","2018"
"975215","Dell Seton Medical Center at The University of Texas","DELL SETON MEDICAL CENTER AT UT","AUSTIN","TRAVIS","48453","TX","2018"
"469000","Texas Health Harris Methodist Hospital Azle","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","AZLE","TARRANT","48439","TX","2018"
"234000","Ballinger Memorial Hospital District","BALLINGER MEMORIAL HOSPITAL DISTRICT","BALLINGER","RUNNELS","48399","TX","2018"
"006000","Matagorda Regional Medical Center","MATAGORDA REGIONAL MEDICAL CENTER","BAY CITY","MATAGORDA","48321","TX","2018"
"006001","Matagorda Regional Medical Center","MATAGORDA REGIONAL MEDICAL CENTER","BAY CITY","MATAGORDA","48321","TX","2018"
"405000","Houston Methodist Baytown Hospital","HOUSTON METHODIST BAYTOWN HOSPITAL","BAYTOWN","HARRIS","48201","TX","2018"
"973860","Altus Baytown Hospital Baytown Medical Center","ALTUS BAYTOWN HOSPITAL BAYTOWN MEDICAL CENTER","BAYTOWN","HARRIS","48201","TX","2018"
"389000","Baptist Hospitals of Southeast Texas","BAPTIST HOSPITALS OF SOUTHEAST TEXAS","BEAUMONT","JEFFERSON","48245","TX","2018"
"444001","CHRISTUS Southeast Texas - St Elizabeth","CHRISTUS SOUTHEAST TEXAS ST ELIZABETH","BEAUMONT","JEFFERSON","48245","TX","2018"
"861900","Kate Dishman Rehab Hospital","KATE DISHMAN REHAB HOSPITAL","BEAUMONT","JEFFERSON","48245","TX","2018"
"975111","Medical Center of Southeast Texas Beaumont Campus","MEDICAL CENTER OF SOUTHEAST TEXAS BEAUMONT CAMPUS","BEAUMONT","JEFFERSON","48245","TX","2018"
"975149","PAM Rehabilitation Hospital of Beaumont","PAM REHAB HOSPITAL OF BEAUMONT","BEAUMONT","JEFFERSON","48245","TX","2018"
"975255","CHRISTUS Dubuis Hospital Beaumont","CHRISTUS DUBUIS HOSPITAL BEAUMONT","BEAUMONT","JEFFERSON","48245","TX","2018"
"182000","Texas Health Harris Methodist HEB","TEXAS HEALTH HARRIS METHODIST HEB","BEDFORD","TARRANT","48439","TX","2018"
"700003","Encompass Health Rehab Hospital The Mid-Cities","ENCOMPASS HEALTH REHAB HOSPITAL THE MID CITIES","BEDFORD","TARRANT","48439","TX","2018"
"778000","Texas Health Springwood Behavioral Health Hospital","TEXAS HEALTH SPRINGWOOD BEHAVIORAL HEALTH HOSPITAL","BEDFORD","TARRANT","48439","TX","2018"
"429001","CHRISTUS Spohn Hospital-Beeville","CHRISTUS SPOHN HOSPITAL BEEVILLE","BEEVILLE","BEE","48025","TX","2018"
"974820","Memorial Hermann Orthopedic and Spine Hospital","MEMORIAL HERMANN ORTHOPEDIC AND SPINE HOSPITAL","BELLAIRE","HARRIS","48201","TX","2018"
"975131","First Surgical Hospital","FIRST SURGICAL HOSPITAL","BELLAIRE","HARRIS","48201","TX","2018"
"552000","Bellville Medical Center","BELLVILLE MEDICAL CENTER","BELLVILLE","AUSTIN","48015","TX","2018"
"806002","Cedar Crest Hospital","CEDAR CREST HOSPITAL","BELTON","BELL","48027","TX","2018"
"343000","Reagan Memorial Hospital","REAGAN MEMORIAL HOSPITAL","BIG LAKE","REAGAN","48383","TX","2018"
"000101","Big Spring State Hospital","BIG SPRING STATE HOSPITAL","BIG SPRING","MIDLAND","48329","TX","2018"
"221000","Scenic Mountain Medical Center","SCENIC MOUNTAIN MEDICAL CENTER","BIG SPRING","HOWARD","48227","TX","2018"
"106001","TMC Bonham Hospital","TMC BONHAM HOSPITAL","BONHAM","FANNIN","48147","TX","2018"
"654000","Golden Plains Community Hospital","GOLDEN PLAINS COMMUNITY HOSPITAL","BORGER","HUTCHINSON","48233","TX","2018"
"975156","Central Hospital of Bowie","CENTRAL HOSPITAL OF BOWIE","BOWIE","MONTAGUE","48337","TX","2018"
"362000","Heart of Texas Healthcare System","HEART OF TEXAS HEALTHCARE SYSTEM","BRADY","MCCULLOCH","48307","TX","2018"
"430000","Stephens Memorial Hospital","STEPHENS MEMORIAL HOSPITAL","BRECKENRIDGE","STEPHENS","48429","TX","2018"
"066000","Baylor Scott & White Hospital-Brenham","BAYLOR SCOTT WHITE HOSPITAL BRENHAM","BRENHAM","WASHINGTON","48477","TX","2018"
"078000","Brownfield Regional Medical Center","BROWNFIELD REGIONAL MEDICAL CENTER","BROWNFIELD","TERRY","48445","TX","2018"
"019000","Valley Regional Medical Center","VALLEY REGIONAL MEDICAL CENTER","BROWNSVILLE","CAMERON","48061","TX","2018"
"314001","Valley Baptist Medical Center-Brownsville","VALLEY BAPTIST MEDICAL CENTER BROWNSVILLE","BROWNSVILLE","CAMERON","48061","TX","2018"
"821100","South Texas Rehab Hospital","SOUTH TEXAS REHAB HOSPITAL","BROWNSVILLE","CAMERON","48061","TX","2018"
"847500","Solara Specialty Hospitals Harlingen Brownsville","SOLARA SPECIALTY HOSPITALS HARLINGEN BROWNSVILLE","BROWNSVILLE","CAMERON","48061","TX","2018"
"058000","Brownwood Regional Medical Center","BROWNWOOD REGIONAL MEDICAL CENTER","BROWNWOOD","BROWN","48049","TX","2018"
"002001","St Joseph Regional Health Center","ST JOSEPH REGIONAL HEALTH CENTER","BRYAN","BRAZOS","48041","TX","2018"
"717500","Physicians Centre Hospital","PHYSICIANS CENTRE HOSPITAL","BRYAN","BRAZOS","48041","TX","2018"
"975162","CHI St Joseph Rehab Hospital, Encompass Health","CHI ST JOSEPH REHAB HOSPITAL ENCOMPASS HEALTH","BRYAN","BRAZOS","48041","TX","2018"
"975270","Caprock Hospital","CAPROCK HOSPITAL","BRYAN","BRAZOS","48041","TX","2018"
"973920","Baylor Emergency Medical Center","BAYLOR EMERGENCY MEDICAL CENTER","BURLESON","JOHNSON","48251","TX","2018"
"559000","Ascension Seton Highland Lakes","ASCENSION SETON HIGHLAND LAKES","BURNET","BURNET","48053","TX","2018"
"679000","Burleson St Joseph Health Center-Caldwell","BURLESON ST JOSEPH HEALTH CENTER CALDWELL","CALDWELL","BURLESON","48051","TX","2018"
"973740","Little River Healthcare - Cameron Hospital","LITTLE RIVER HEALTHCARE CAMERON HOSPITAL","CAMERON","MILAM","48331","TX","2018"
"457000","Hemphill County Hospital","HEMPHILL COUNTY HOSPITAL","CANADIAN","HEMPHILL","48211","TX","2018"
"156000","Dimmit Regional Hospital","DIMMIT REGIONAL HOSPITAL","CARRIZO SPRINGS","DIMMIT","48127","TX","2018"
"042000","Baylor Scott & White Medical Center Carrollton","BAYLOR SCOTT WHITE MEDICAL CENTER CARROLLTON","CARROLLTON","DENTON","48121","TX","2018"
"672000","Select Specialty Hospital-Dallas","SELECT SPECIALTY HOSPITAL DALLAS","CARROLLTON","DENTON","48121","TX","2018"
"969500","Carrollton Springs","CARROLLTON SPRINGS","CARROLLTON","DENTON","48121","TX","2018"
"974800","First Texas Hospital","FIRST TEXAS HOSPITAL","CARROLLTON","DALLAS","48113","TX","2018"
"484000","East Texas Medical Center-Carthage","EAST TEXAS MEDICAL CENTER CARTHAGE","CARTHAGE","PANOLA","48365","TX","2018"
"975294","UT Health East Texas Carthage Hospital","UT HEALTH EAST TEXAS CARTHAGE HOSPITAL","CARTHAGE","PANOLA","48365","TX","2018"
"101200","Baylor Scott & White Emergency Hospital Cedar Park","BAYLOR SCOTT WHITE EMERGENCY HOSPITAL CEDAR PARK","CEDAR PARK","WILLIAMSON","48491","TX","2018"
"858300","Cedar Park Regional Medical Center","CEDAR PARK REGIONAL MEDICAL CENTER","CEDAR PARK","WILLIAMSON","48491","TX","2018"
"026000","Childress Regional Medical Center","CHILDRESS REGIONAL MEDICAL CENTER","CHILDRESS","CHILDRESS","48075","TX","2018"
"523000","Chillicothe Hospital","CHILLICOTHE HOSPITAL","CHILLICOTHE","HARDEMAN","48197","TX","2018"
"323000","Texas Health Harris Methodist Hospital Cleburne","TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","CLEBURNE","JOHNSON","48251","TX","2018"
"975112","Cleveland Emergency Hospital","CLEVELAND EMERGENCY HOSPITAL","CLEVELAND","LIBERTY","48291","TX","2018"
"975222","Texas Rural Hospitals","TEXAS RURAL HOSPITALS","CLEVELAND","LIBERTY","48291","TX","2018"
"070000","Goodall - Witcher Hospital","GOODALL WITCHER HOSPITAL","CLIFTON","BOSQUE","48035","TX","2018"
"049000","Coleman County Medical Center","COLEMAN COUNTY MEDICAL CENTER","COLEMAN","COLEMAN","48083","TX","2018"
"071000","College Station Medical Center","COLLEGE STATION MEDICAL CENTER","COLLEGE STATION","BRAZOS","48041","TX","2018"
"206100","Baylor Scott & White Hospital College Station","BAYLOR SCOTT WHITE HOSPITAL COLLEGE STATION","COLLEGE STATION","BRAZOS","48041","TX","2018"
"973830","Rock Prairie Behavioral Health","ROCK PRAIRIE BEHAVIORAL HEALTH","COLLEGE STATION","BRAZOS","48041","TX","2018"
"972420","Baylor Emergency Medical Center","BAYLOR EMERGENCY MEDICAL CENTER","COLLEYVILLE","TARRANT","48439","TX","2018"
"075000","Mitchell County Hospital","MITCHELL COUNTY HOSPITAL","COLORADO CITY","MITCHELL","48335","TX","2018"
"014000","Columbus Community Hospital","COLUMBUS COMMUNITY HOSPITAL","COLUMBUS","COLORADO","48089","TX","2018"
"495001","Comanche County Medical Center","COMANCHE COUNTY MEDICAL CENTER","COMANCHE","COMANCHE","48093","TX","2018"
"100087","Montgomery County Mental Health Treatment Facility","MONTGOMERY COUNTY MENTAL HEALTH TREATMENT FACILITY","CONROE","MONTGOMERY","48339","TX","2018"
"508001","HCA Houston Healthcare Conroe","HCA HOUSTON HEALTHCARE CONROE","CONROE","MONTGOMERY","48339","TX","2018"
"695000","Encompass Health Rehab Hospital The Woodlands","ENCOMPASS HEALTH REHAB HOSPITAL THE WOODLANDS","CONROE","MONTGOMERY","48339","TX","2018"
"854100","Cornerstone Specialty Hospital Conroe","CORNERSTONE SPECIALTY HOSPITAL CONROE","CONROE","MONTGOMERY","48339","TX","2018"
"915000","Aspire Hospital","ASPIRE HOSPITAL","CONROE","MONTGOMERY","48339","TX","2018"
"975288","Woodland Springs","WOODLAND SPRINGS","CONROE","MONTGOMERY","48339","TX","2018"
"975324","The Woodlands Integrative Care Hospital","THE WOODLANDS INTEGRATIVE CARE HOSPITAL","CONROE","MONTGOMERY","48339","TX","2018"
"398000","CHRISTUS Spohn Hospital Corpus Christi","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","CORPUS CHRISTI","NUECES","48355","TX","2018"
"398001","CHRISTUS Spohn Hospital Corpus Christi-Shoreline","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE","CORPUS CHRISTI","NUECES","48355","TX","2018"
"398002","CHRISTUS Spohn Hospital Corpus Christi-South","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH","CORPUS CHRISTI","NUECES","48355","TX","2018"
"488000","Driscoll Childrens Hospital","DRISCOLL CHILDRENS HOSPITAL","CORPUS CHRISTI","NUECES","48355","TX","2018"
"703000","Corpus Christi Medical Center-Bay Area","CORPUS CHRISTI MEDICAL CENTER BAY AREA","CORPUS CHRISTI","NUECES","48355","TX","2018"
"703002","Corpus Christi Medical Center-Doctors Regional","CORPUS CHRISTI MEDICAL CENTER DOCTORS REGIONAL","CORPUS CHRISTI","NUECES","48355","TX","2018"
"703003","Corpus Christi Medical Center-Heart Hospital","CORPUS CHRISTI MEDICAL CENTER HEART HOSPITAL","CORPUS CHRISTI","NUECES","48355","TX","2018"
"703005","Bayview Behavioral Hospital","BAYVIEW BEHAVIORAL HOSPITAL","CORPUS CHRISTI","NUECES","48355","TX","2018"
"704004","Corpus Christi Medical Center-Northwest","CORPUS CHRISTI MEDICAL CENTER NORTHWEST","CORPUS CHRISTI","NUECES","48355","TX","2018"
"931000","South Texas Surgical Hospital","SOUTH TEXAS SURGICAL HOSPITAL","CORPUS CHRISTI","NUECES","48355","TX","2018"
"973250","PAM Specialty Hospital of Corpus Christi South","PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI SOUTH","CORPUS CHRISTI","NUECES","48355","TX","2018"
"973310","Corpus Christi Rehabilitation Hospital","CORPUS CHRISTI REHAB HOSPITAL","CORPUS CHRISTI","NUECES","48355","TX","2018"
"974360","PAM Specialty Hospital of Corpus Christi North","PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI NORTH","CORPUS CHRISTI","NUECES","48355","TX","2018"
"975271","PAM Rehab Hospital of Corpus Christi","PAM REHAB HOSPITAL OF CORPUS CHRISTI","CORPUS CHRISTI","NUECES","48355","TX","2018"
"975303","PAM Specialty Hospital of Corpus Christi Bayfront","PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI BAYFRONT","CORPUS CHRISTI","NUECES","48355","TX","2018"
"141000","Navarro Regional Hospital","NAVARRO REGIONAL HOSPITAL","CORSICANA","NAVARRO","48349","TX","2018"
"467000","Crane Memorial Hospital","CRANE MEMORIAL HOSPITAL","CRANE","CRANE","48103","TX","2018"
"975259","Crockett Medical Center","CROCKETT MEDICAL CENTER","CROCKETT","HOUSTON","48225","TX","2018"
"176000","Crosbyton Clinic Hospital","CROSBYTON CLINIC HOSPITAL","CROSBYTON","CROSBY","48107","TX","2018"
"074000","Cuero Regional Hospital","CUERO REGIONAL HOSPITAL","CUERO","DEWITT","48123","TX","2018"
"114100","Lone Star Behavioral Health Cypress","LONE STAR BEHAVIORAL HEALTH CYPRESS","CYPRESS","HARRIS","48201","TX","2018"
"843200","North Cypress Medical Center","NORTH CYPRESS MEDICAL CENTER","CYPRESS","HARRIS","48201","TX","2018"
"975201","Memorial Hermann Cypress Hospital","MEMORIAL HERMANN CYPRESS HOSPITAL","CYPRESS","HARRIS","48201","TX","2018"
"975321","HCA Houston Healthcare North Cypress","HCA HOUSTON HEALTHCARE NORTH CYPRESS","CYPRESS","HARRIS","48201","TX","2018"
"262000","Coon Memorial Hospital & Home","COON MEMORIAL HOSPITAL HOME","DALHART","DALLAM","48111","TX","2018"
"008001","Baylor Scott & White Medical Center Uptown","BAYLOR SCOTT WHITE MEDICAL CENTER UPTOWN","DALLAS","DALLAS","48113","TX","2018"
"028000","Kindred Hospital-Dallas","KINDRED HOSPITAL DALLAS","DALLAS","DALLAS","48113","TX","2018"
"054000","Texas Scottish Rite Hospital for Children","TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN","DALLAS","DALLAS","48113","TX","2018"
"142000","Methodist Charlton Medical Center","METHODIST CHARLTON MEDICAL CENTER","DALLAS","DALLAS","48113","TX","2018"
