"WEEK","DISEASE_CAT","COUNT_TYPE","PAT_COUNTY","PAT_COUNTY_FIPS","PAT_STATE","PATIENT_COUNT_MEAN_SUM","PATIENT_COUNT_MEDIAN_SUM","PATIENT_COUNT_MIN_SUM","PATIENT_COUNT_MAX_SUM"
2018-07-08,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2.4,2,2,3
2018-07-15,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3,3,2,4
2018-07-22,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1.14285714285714,1,1,2
2018-07-29,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1,1,1,1
2018-09-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1,1,1,1
2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4.6,5,3,6
2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1,1,1,1
2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4.28571428571428,4,3,6
2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1.42857142857143,1,1,2
2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2.57142857142857,2,2,4
2018-10-14,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1,1,1,1
2018-10-14,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2,2,2,2
2018-11-25,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1.75,2,1,2
2018-12-02,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2.85714285714286,3,2,3
2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",4.47619047619047,5,3,6
2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1,1,1,1
2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",4.28571428571429,5,3,5
2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3.42857142857143,4,1,5
2018-12-23,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1.57142857142857,2,1,2
2018-12-23,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2.16666666666667,2.5,1,3
2018-12-30,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1,1,1,1
