"WEEK","DISEASE_CAT","COUNT_TYPE","PAT_COUNTY","PAT_COUNTY_FIPS","PAT_STATE","PATIENT_COUNT_MEAN_SUM","PATIENT_COUNT_MEDIAN_SUM","PATIENT_COUNT_MIN_SUM","PATIENT_COUNT_MAX_SUM"
2018-07-01,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2.25,2,2,3
2018-07-08,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3.14285714285714,3,3,4
2018-07-15,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1.28571428571429,1,1,2
2018-07-22,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1,1,1,1
2018-09-09,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1,1,1,1
2018-09-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3.23333333333333,2.5,2,5
2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1,1,1,1
2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4.77142857142857,4,4,7
2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1.5,1.5,1,2
2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2.57142857142857,2,2,4
2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1,1,1,1
2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2,2,2,2
2018-11-18,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1.66666666666667,2,1,2
2018-11-25,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2.71428571428571,3,2,3
2018-12-02,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",4.5952380952381,5,3,6
2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",4,5,2,5
2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3.14285714285714,4,1,5
2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2,2,1,4
2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2.28571428571429,3,1,3
2018-12-23,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1,1,1,1
