"PAT_ZCTA","WEEK","DISEASE_CAT","COUNT_TYPE","PATIENT_COUNT"
75201,2018-09-23,"FLU-ILI-RSV","HOSP_ADMIT",1
75201,2018-09-30,"FLU-ILI-RSV","HOSP_ADMIT",2
75204,2018-12-02,"FLU-ILI-RSV","HOSP_ADMIT",3
75204,2018-12-09,"FLU-ILI-RSV","HOSP_ADMIT",3
75204,2018-12-16,"FLU-ILI-RSV","HOSP_ADMIT",1
75235,2018-11-18,"FLU-ILI-RSV","HOSP_ADMIT",2
75235,2018-11-25,"FLU-ILI-RSV","HOSP_ADMIT",2
77002,2018-07-01,"FLU-ILI-RSV","HOSP_ADMIT",3
77002,2018-07-08,"FLU-ILI-RSV","HOSP_ADMIT",1
77003,2018-09-09,"FLU-ILI-RSV","HOSP_ADMIT",1
77003,2018-09-16,"FLU-ILI-RSV","HOSP_ADMIT",2
77004,2018-09-16,"FLU-ILI-RSV","HOSP_ADMIT",3
77004,2018-09-23,"FLU-ILI-RSV","HOSP_ADMIT",1
77005,2018-09-23,"FLU-ILI-RSV","HOSP_ADMIT",2
77005,2018-09-30,"FLU-ILI-RSV","HOSP_ADMIT",2
77006,2018-12-09,"FLU-ILI-RSV","HOSP_ADMIT",5
