"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","WEEK","PATIENT_COUNT_MEAN_SUM","PATIENT_COUNT_MEDIAN_SUM","PATIENT_COUNT_MIN_SUM","PATIENT_COUNT_MAX_SUM"
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-09-30,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-07,1.42857142857143,1,1,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-14,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-25,1.75,2,1,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-02,2.85714285714286,3,2,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-09,4.47619047619047,5,3,6
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-16,4.28571428571429,5,3,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-23,1.57142857142857,2,1,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-30,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-08,2.4,2,2,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-15,3,3,2,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-22,1.14285714285714,1,1,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-29,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-16,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-23,4.6,5,3,6
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-30,4.28571428571428,4,3,6
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-07,2.57142857142857,2,2,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-14,2,2,2,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-12-09,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-12-16,3.42857142857143,4,1,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-12-23,2.16666666666667,2.5,1,3
