"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","WEEK","PATIENT_COUNT_MEAN_SUM","PATIENT_COUNT_MEDIAN_SUM","PATIENT_COUNT_MIN_SUM","PATIENT_COUNT_MAX_SUM"
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-09-23,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-09-30,1.5,1.5,1,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-07,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-18,1.66666666666667,2,1,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-25,2.71428571428571,3,2,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-02,4.5952380952381,5,3,6
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-09,4,5,2,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-16,2,2,1,4
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-23,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-01,2.25,2,2,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-08,3.14285714285714,3,3,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-15,1.28571428571429,1,1,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-22,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-09,1,1,1,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-16,3.23333333333333,2.5,2,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-23,4.77142857142857,4,4,7
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-30,2.57142857142857,2,2,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-07,2,2,2,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-12-09,3.14285714285714,4,1,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-12-16,2.28571428571429,3,1,3
