"PAT_ZCTA","WEEK","DISEASE_CAT","COUNT_TYPE","PATIENT_COUNT_SUM","COVERAGE_DAYS","PATIENT_COUNT_MEAN","PATIENT_COUNT_MEDIAN","PATIENT_COUNT_MIN","PATIENT_COUNT_MAX"
75201,2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS",2,2,1,1,1,1
75201,2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS",10,7,1.42857142857143,1,1,2
75201,2018-10-14,"FLU-ILI-RSV","HOSP_CENSUS",4,4,1,1,1,1
75204,2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS",15,7,2.14285714285714,2,2,3
75204,2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS",30,7,4.28571428571429,5,3,5
75204,2018-12-23,"FLU-ILI-RSV","HOSP_CENSUS",11,7,1.57142857142857,2,1,2
75204,2018-12-30,"FLU-ILI-RSV","HOSP_CENSUS",3,3,1,1,1,1
75235,2018-11-25,"FLU-ILI-RSV","HOSP_CENSUS",7,4,1.75,2,1,2
75235,2018-12-02,"FLU-ILI-RSV","HOSP_CENSUS",20,7,2.85714285714286,3,2,3
75235,2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS",14,6,2.33333333333333,3,1,3
77002,2018-07-08,"FLU-ILI-RSV","HOSP_CENSUS",12,5,2.4,2,2,3
77002,2018-07-15,"FLU-ILI-RSV","HOSP_CENSUS",21,7,3,3,2,4
77002,2018-07-22,"FLU-ILI-RSV","HOSP_CENSUS",8,7,1.14285714285714,1,1,2
77002,2018-07-29,"FLU-ILI-RSV","HOSP_CENSUS",1,1,1,1,1,1
77003,2018-09-16,"FLU-ILI-RSV","HOSP_CENSUS",3,3,1,1,1,1
77003,2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS",8,5,1.6,2,1,2
77003,2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS",4,4,1,1,1,1
77004,2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS",14,7,2,2,1,3
77004,2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS",15,7,2.14285714285714,2,1,3
77004,2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS",7,7,1,1,1,1
77004,2018-10-14,"FLU-ILI-RSV","HOSP_CENSUS",2,2,1,1,1,1
77005,2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS",1,1,1,1,1,1
77005,2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS",8,7,1.14285714285714,1,1,2
77005,2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS",11,7,1.57142857142857,1,1,3
77005,2018-10-14,"FLU-ILI-RSV","HOSP_CENSUS",5,5,1,1,1,1
77006,2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS",1,1,1,1,1,1
77006,2018-12-16,"FLU-ILI-RSV","HOSP_CENSUS",24,7,3.42857142857143,4,1,5
77006,2018-12-23,"FLU-ILI-RSV","HOSP_CENSUS",13,6,2.16666666666667,2.5,1,3
