"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","DATE","PATIENT_COUNT"
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-09-27,1
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-10-01,1
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-10-03,1
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-11-22,1
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-11-23,1
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-11-26,1
"FLU","HOSP_ADMIT","DALLAS","48113","TX",2018-12-01,1
"FLU","HOSP_ADMIT","HARRIS","48201","TX",2018-07-04,2
"FLU","HOSP_ADMIT","HARRIS","48201","TX",2018-07-07,1
"FLU","HOSP_ADMIT","HARRIS","48201","TX",2018-07-10,1
"FLU","HOSP_ADMIT","HARRIS","48201","TX",2018-09-23,1
"FLU","HOSP_ADMIT","HARRIS","48201","TX",2018-09-29,1
"FLU","HOSP_ADMIT","HARRIS","48201","TX",2018-10-01,2
