"PAT_ZCTA","DATE","PATIENT_COUNT","DISEASE_CAT","COUNT_TYPE"
75201,2018-09-27,1,"FLU","HOSP_ADMIT"
75201,2018-10-01,1,"FLU","HOSP_ADMIT"
75201,2018-10-03,1,"FLU","HOSP_ADMIT"
75235,2018-11-22,1,"FLU","HOSP_ADMIT"
75235,2018-11-23,1,"FLU","HOSP_ADMIT"
75235,2018-11-26,1,"FLU","HOSP_ADMIT"
75235,2018-12-01,1,"FLU","HOSP_ADMIT"
77002,2018-07-04,2,"FLU","HOSP_ADMIT"
77002,2018-07-07,1,"FLU","HOSP_ADMIT"
77002,2018-07-10,1,"FLU","HOSP_ADMIT"
77005,2018-09-23,1,"FLU","HOSP_ADMIT"
77005,2018-09-29,1,"FLU","HOSP_ADMIT"
77005,2018-10-01,2,"FLU","HOSP_ADMIT"
