"PAT_COUNTY_FIPS","PAT_COUNTY","DATE","PATIENT_COUNT","DISEASE_CAT","COUNT_TYPE"
"48113","DALLAS",2018-10-01,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-10-02,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-10-03,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-10-04,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-10-05,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-11-26,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-11-27,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-11-28,1,"FLU","HOSP_CENSUS"
"48113","DALLAS",2018-11-29,1,"FLU","HOSP_CENSUS"
"48201","HARRIS",2018-07-07,1,"FLU","HOSP_CENSUS"
"48201","HARRIS",2018-07-08,1,"FLU","HOSP_CENSUS"
"48201","HARRIS",2018-07-09,1,"FLU","HOSP_CENSUS"
"48201","HARRIS",2018-07-10,1,"FLU","HOSP_CENSUS"
"48201","HARRIS",2018-09-29,1,"FLU","HOSP_CENSUS"
