"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","WEEK","PATIENT_COUNT_MEAN_SUM","PATIENT_COUNT_MEDIAN_SUM","PATIENT_COUNT_MIN_SUM","PATIENT_COUNT_MAX_SUM"
"FLU","HOSP_CENSUS","DALLAS","48113","TX",2018-09-23,1,1,1,1
"FLU","HOSP_CENSUS","DALLAS","48113","TX",2018-09-30,1.5,1.5,1,2
"FLU","HOSP_CENSUS","DALLAS","48113","TX",2018-10-07,1,1,1,1
"FLU","HOSP_CENSUS","DALLAS","48113","TX",2018-11-18,1.66666666666667,2,1,2
"FLU","HOSP_CENSUS","DALLAS","48113","TX",2018-11-25,2.71428571428571,3,2,3
"FLU","HOSP_CENSUS","DALLAS","48113","TX",2018-12-02,2.42857142857143,3,1,3
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-07-01,2.25,2,2,3
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-07-08,3.14285714285714,3,3,4
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-07-15,1.28571428571429,1,1,2
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-07-22,1,1,1,1
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-09-23,1.14285714285714,1,1,2
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-09-30,1.57142857142857,1,1,3
"FLU","HOSP_CENSUS","HARRIS","48201","TX",2018-10-07,1,1,1,1
