"PAT_ZCTA","WEEK","DISEASE_CAT","COUNT_TYPE","PATIENT_COUNT_SUM","COVERAGE_DAYS","PATIENT_COUNT_MEAN","PATIENT_COUNT_MEDIAN","PATIENT_COUNT_MIN","PATIENT_COUNT_MAX"
75201,2018-09-30,"FLU","HOSP_CENSUS",2,2,1,1,1,1
75201,2018-10-07,"FLU","HOSP_CENSUS",10,7,1.42857142857143,1,1,2
75201,2018-10-14,"FLU","HOSP_CENSUS",4,4,1,1,1,1
75235,2018-11-25,"FLU","HOSP_CENSUS",7,4,1.75,2,1,2
75235,2018-12-02,"FLU","HOSP_CENSUS",20,7,2.85714285714286,3,2,3
75235,2018-12-09,"FLU","HOSP_CENSUS",14,6,2.33333333333333,3,1,3
77002,2018-07-08,"FLU","HOSP_CENSUS",12,5,2.4,2,2,3
77002,2018-07-15,"FLU","HOSP_CENSUS",21,7,3,3,2,4
77002,2018-07-22,"FLU","HOSP_CENSUS",8,7,1.14285714285714,1,1,2
77002,2018-07-29,"FLU","HOSP_CENSUS",1,1,1,1,1,1
77005,2018-09-23,"FLU","HOSP_CENSUS",1,1,1,1,1,1
77005,2018-09-30,"FLU","HOSP_CENSUS",8,7,1.14285714285714,1,1,2
77005,2018-10-07,"FLU","HOSP_CENSUS",11,7,1.57142857142857,1,1,3
77005,2018-10-14,"FLU","HOSP_CENSUS",5,5,1,1,1,1
