"PAT_ZCTA","WEEK","DISEASE_CAT","COUNT_TYPE","PATIENT_COUNT_SUM","COVERAGE_DAYS","PATIENT_COUNT_MEAN","PATIENT_COUNT_MEDIAN","PATIENT_COUNT_MIN","PATIENT_COUNT_MAX"
75201,2018-09-23,"FLU","HOSP_CENSUS",2,2,1,1,1,1
75201,2018-09-30,"FLU","HOSP_CENSUS",9,6,1.5,1.5,1,2
75201,2018-10-07,"FLU","HOSP_CENSUS",5,5,1,1,1,1
75235,2018-11-18,"FLU","HOSP_CENSUS",5,3,1.66666666666667,2,1,2
75235,2018-11-25,"FLU","HOSP_CENSUS",19,7,2.71428571428571,3,2,3
75235,2018-12-02,"FLU","HOSP_CENSUS",17,7,2.42857142857143,3,1,3
77002,2018-07-01,"FLU","HOSP_CENSUS",9,4,2.25,2,2,3
77002,2018-07-08,"FLU","HOSP_CENSUS",22,7,3.14285714285714,3,3,4
77002,2018-07-15,"FLU","HOSP_CENSUS",9,7,1.28571428571429,1,1,2
77002,2018-07-22,"FLU","HOSP_CENSUS",2,2,1,1,1,1
77005,2018-09-23,"FLU","HOSP_CENSUS",8,7,1.14285714285714,1,1,2
77005,2018-09-30,"FLU","HOSP_CENSUS",11,7,1.57142857142857,1,1,3
77005,2018-10-07,"FLU","HOSP_CENSUS",6,6,1,1,1,1
