"ICD10_COL_NUM","ADMIT_TYPE","DISEASE","ADMIT_POA_Y_COUNT","TOTAL_RECORDS_PER_DISEASE","PERCENT_RECORD_PER_COLUMN"
"0","PRIMARY_ADMIT_POA_Y","COV",2,2,100
"0","PRIMARY_ADMIT_POA_Y","FLU",3,7,42.8571428571429
"0","PRIMARY_ADMIT_POA_Y","ILI",1,3,33.3333333333333
"0","PRIMARY_ADMIT_POA_Y","NOT_RESP",1,19,5.26315789473684
"0","PRIMARY_ADMIT_POA_Y","RSV",1,1,100
"1","SECONDARY_ADMIT_POA_Y_1","COV",0,2,0
"1","SECONDARY_ADMIT_POA_Y_1","FLU",2,7,28.5714285714286
"1","SECONDARY_ADMIT_POA_Y_1","ILI",0,3,0
"1","SECONDARY_ADMIT_POA_Y_1","NOT_RESP",6,19,31.578947368421
"1","SECONDARY_ADMIT_POA_Y_1","RSV",0,1,0
"2","SECONDARY_ADMIT_POA_Y_2","COV",0,2,0
"2","SECONDARY_ADMIT_POA_Y_2","FLU",0,7,0
"2","SECONDARY_ADMIT_POA_Y_2","ILI",0,3,0
"2","SECONDARY_ADMIT_POA_Y_2","NOT_RESP",8,19,42.1052631578947
"2","SECONDARY_ADMIT_POA_Y_2","RSV",0,1,0
"3","SECONDARY_ADMIT_POA_Y_3","COV",0,2,0
"3","SECONDARY_ADMIT_POA_Y_3","FLU",2,7,28.5714285714286
"3","SECONDARY_ADMIT_POA_Y_3","ILI",2,3,66.6666666666667
"3","SECONDARY_ADMIT_POA_Y_3","NOT_RESP",4,19,21.0526315789474
"3","SECONDARY_ADMIT_POA_Y_3","RSV",0,1,0
